original_name,public_name,public_path,pdf_id,public_id,page_count,strategy,pii_block_hits,recurring_header_footer_hits,flags,anchor_found,anchor_text
00529_Cuadernos_de_Geografía_Revista_2023.pdf,case_0043.pdf,anonymized_pdfs/case_0043.pdf,43,case_0043,14,cover_swap_first_page,37,12,cover_swapped,,
00557_Mundo_Amazónico_2024.pdf,case_0044.pdf,anonymized_pdfs/case_0044.pdf,44,case_0044,21,cover_swap_first_page,62,0,cover_swapped,,
00561_Papeles_2026.pdf,case_0045.pdf,anonymized_pdfs/case_0045.pdf,45,case_0045,25,cover_swap_first_page,59,48,cover_swapped,,
00569_Papeles_2024.pdf,case_0046.pdf,anonymized_pdfs/case_0046.pdf,46,case_0046,24,cover_swap_first_page,63,46,cover_swapped,,
00570_Papeles_2024.pdf,case_0047.pdf,anonymized_pdfs/case_0047.pdf,47,case_0047,22,cover_swap_first_page,75,42,cover_swapped,,
00593_Revista_Colombiana_de_Educació_2024.pdf,case_0048.pdf,anonymized_pdfs/case_0048.pdf,48,case_0048,24,cover_swap_first_page,48,0,cover_swapped,,
00598_Revista_Colombiana_de_Educació_2024.pdf,case_0049.pdf,anonymized_pdfs/case_0049.pdf,49,case_0049,21,cover_swap_first_page,54,0,cover_swapped,,
00618_Revista_Colombiana_de_Tecnolog_2026.pdf,case_0050.pdf,anonymized_pdfs/case_0050.pdf,50,case_0050,13,cover_swap_first_page,12,26,cover_swapped,,
00621_Revista_UIS_Ingenierías_2025.pdf,case_0051.pdf,anonymized_pdfs/case_0051.pdf,51,case_0051,16,cover_swap_first_page,18,15,cover_swapped,,
00643_Tecnura_2025.pdf,case_0052.pdf,anonymized_pdfs/case_0052.pdf,52,case_0052,24,cover_swap_first_page,55,46,cover_swapped,,
00649_Tecnura_2023.pdf,case_0053.pdf,anonymized_pdfs/case_0053.pdf,53,case_0053,15,cover_swap_first_page,23,28,cover_swapped,,
00655_Tropical_Grasslands-Forrajes_T_2024.pdf,case_0054.pdf,anonymized_pdfs/case_0054.pdf,54,case_0054,9,cover_swap_first_page,13,8,cover_swapped,,
00659_Tropical_Grasslands-Forrajes_T_2023.pdf,case_0055.pdf,anonymized_pdfs/case_0055.pdf,55,case_0055,15,cover_swap_first_page,24,14,cover_swapped,,
00673_Revista_Andina_de_Educación_2026.pdf,case_0056.pdf,anonymized_pdfs/case_0056.pdf,56,case_0056,11,cover_swap_first_page,17,0,cover_swapped,,
00674_Revista_Andina_de_Educación_2025.pdf,case_0057.pdf,anonymized_pdfs/case_0057.pdf,57,case_0057,8,cover_swap_first_page,14,0,cover_swapped,,
00676_Revista_Andina_de_Educación_2025.pdf,case_0058.pdf,anonymized_pdfs/case_0058.pdf,58,case_0058,12,cover_swap_first_page,18,10,cover_swapped,,
00677_Revista_Andina_de_Educación_2025.pdf,case_0059.pdf,anonymized_pdfs/case_0059.pdf,59,case_0059,14,cover_swap_first_page,25,0,cover_swapped,,
00687_Revista_Técnica_Energía_2024.pdf,case_0060.pdf,anonymized_pdfs/case_0060.pdf,60,case_0060,11,cover_swap_first_page,17,10,cover_swapped,,
00710_Espacio_y_Desarrollo_2021.pdf,case_0061.pdf,anonymized_pdfs/case_0061.pdf,61,case_0061,27,cover_swap_first_page,26,26,cover_swapped,,
00724_Memoria_Investigaciones_en_Ing_2025.pdf,case_0062.pdf,anonymized_pdfs/case_0062.pdf,62,case_0062,8,cover_swap_first_page,8,14,cover_swapped,,
00782_Cuestiones_de_Sociología_2026.pdf,case_0063.pdf,anonymized_pdfs/case_0063.pdf,63,case_0063,21,cover_swap_first_page,42,20,cover_swapped,,
00787_Cuestiones_de_Sociología_2025.pdf,case_0064.pdf,anonymized_pdfs/case_0064.pdf,64,case_0064,9,cover_swap_first_page,11,8,cover_swapped,,
